Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,LoanDefault
50,22358,192301,834,22,2,19.21,48,0.43,Bachelor's,Part-time,Divorced,Yes,No,Auto,Yes,0
55,35556,198044,607,89,2,4.24,48,0.6,Master's,Part-time,Married,No,No,Business,Yes,0
69,54577,92616,432,104,1,11.49,60,0.48,PhD,Self-employed,Married,No,No,Home,Yes,1
37,120270,61003,315,115,4,14.95,12,0.11,Master's,Self-employed,Single,Yes,Yes,Education,Yes,0
43,51331,94715,344,42,4,5.57,36,0.24,Master's,Full-time,Divorced,No,No,Other,No,0
46,149370,200228,821,40,1,22.1,48,0.2,PhD,Unemployed,Married,Yes,No,Business,No,0
25,97857,78600,784,57,1,13.25,36,0.37,Master's,Full-time,Married,No,No,Auto,No,0
48,21299,189841,582,37,1,8.82,48,0.38,PhD,Part-time,Married,No,No,Home,No,0
32,67936,244909,729,67,4,12.2,12,0.72,Master's,Unemployed,Married,Yes,No,Auto,No,0
42,87610,89335,404,12,3,13.11,48,0.47,High School,Full-time,Divorced,Yes,No,Education,Yes,0
41,17437,186839,732,26,4,3.79,48,0.82,High School,Self-employed,Single,Yes,Yes,Auto,No,0
24,40601,239028,521,102,3,9.32,48,0.34,Master's,Self-employed,Married,No,Yes,Education,No,1
24,106345,61684,362,82,4,23.09,48,0.54,Master's,Unemployed,Married,Yes,No,Home,No,0
22,88195,208093,752,25,3,17.46,24,0.7,PhD,Self-employed,Married,No,No,Auto,Yes,0
45,62534,197395,663,84,4,10.15,24,0.16,Master's,Full-time,Divorced,Yes,No,Auto,Yes,0
26,63606,131155,567,28,2,6.22,48,0.4,PhD,Part-time,Married,Yes,Yes,Business,No,0
19,97875,164878,791,109,3,14.75,12,0.9,High School,Unemployed,Married,No,Yes,Other,No,0
36,60135,125676,682,36,3,22.61,48,0.56,High School,Unemployed,Divorced,No,No,Business,Yes,0
45,111702,126628,787,45,3,11.18,60,0.17,Master's,Part-time,Divorced,Yes,No,Business,No,0
63,141598,229411,503,60,1,10.28,36,0.48,Master's,Self-employed,Single,No,No,Auto,Yes,0
44,76912,132882,300,80,1,20.21,60,0.33,Master's,Unemployed,Married,No,Yes,Other,Yes,1
53,118129,202985,532,110,3,2.05,24,0.13,High School,Full-time,Single,No,No,Business,No,0
26,59889,73339,602,90,4,19.23,60,0.6,High School,Full-time,Divorced,Yes,Yes,Home,Yes,0
53,137261,108393,323,103,4,13.18,48,0.82,Bachelor's,Unemployed,Divorced,Yes,Yes,Auto,Yes,0
22,44153,158458,767,25,3,20.42,24,0.62,Bachelor's,Self-employed,Married,Yes,No,Home,Yes,1
67,45699,215197,346,18,1,20.34,24,0.36,Bachelor's,Unemployed,Married,Yes,No,Auto,No,1
36,102084,28312,441,48,1,21.31,12,0.76,High School,Self-employed,Divorced,No,Yes,Business,No,1
60,110527,9964,770,109,4,11.0,60,0.48,PhD,Full-time,Divorced,No,Yes,Education,No,0
26,29323,171705,578,92,2,10.76,48,0.22,High School,Self-employed,Divorced,Yes,Yes,Other,Yes,0
36,139754,99555,747,74,1,13.47,24,0.84,Master's,Self-employed,Divorced,No,Yes,Business,No,1
20,34862,159368,757,1,4,23.16,48,0.64,High School,Part-time,Married,Yes,No,Home,No,1
40,131690,228930,769,19,3,18.95,48,0.65,Master's,Full-time,Divorced,Yes,Yes,Business,Yes,0
57,131684,91681,364,103,3,2.86,36,0.64,Master's,Full-time,Single,No,Yes,Auto,No,0
58,121544,216365,490,8,2,7.94,24,0.17,Master's,Self-employed,Single,Yes,No,Other,Yes,0
58,21021,107489,432,36,2,4.3,12,0.53,Bachelor's,Self-employed,Married,No,No,Education,No,0
54,89552,209972,316,34,3,21.34,36,0.46,High School,Part-time,Married,Yes,No,Education,No,1
43,52405,113338,827,77,2,23.91,24,0.51,High School,Part-time,Married,Yes,No,Business,Yes,0
53,58992,83079,804,81,1,20.74,12,0.2,PhD,Unemployed,Married,Yes,No,Business,No,0
31,19077,203473,755,56,4,12.9,48,0.23,High School,Self-employed,Single,No,No,Business,Yes,1
51,141876,46339,799,7,2,14.35,36,0.86,High School,Full-time,Married,No,Yes,Other,No,0
54,130887,23708,839,26,2,14.14,24,0.6,PhD,Full-time,Single,No,No,Home,No,0
27,105403,160903,845,37,1,5.36,24,0.46,Master's,Self-employed,Married,Yes,Yes,Home,No,0
20,119754,94785,760,46,4,14.77,48,0.4,PhD,Part-time,Divorced,No,Yes,Business,Yes,0
23,65326,64653,399,61,4,11.77,36,0.77,High School,Part-time,Single,No,No,Auto,No,1
21,148389,15174,751,12,1,23.06,36,0.85,Master's,Unemployed,Married,No,No,Business,Yes,0
50,22010,34525,529,14,4,10.2,12,0.67,High School,Self-employed,Divorced,No,Yes,Other,Yes,1
22,73135,176247,563,73,2,23.53,60,0.69,Master's,Unemployed,Divorced,Yes,No,Auto,No,0
42,46295,108557,364,54,4,9.23,48,0.53,PhD,Part-time,Single,Yes,No,Auto,Yes,0
37,37611,107113,501,23,1,5.23,60,0.24,Master's,Part-time,Single,No,No,Auto,No,1
60,136983,142251,830,1,4,14.43,48,0.5,High School,Unemployed,Divorced,No,No,Home,Yes,0
40,95817,97136,462,41,1,23.38,12,0.56,High School,Self-employed,Married,Yes,No,Education,No,0
64,107614,90722,804,56,2,18.33,36,0.86,High School,Unemployed,Divorced,Yes,Yes,Education,No,0
32,75618,172312,791,24,3,23.52,60,0.49,PhD,Full-time,Single,No,No,Auto,Yes,1
41,62854,56541,716,78,1,12.71,60,0.82,High School,Self-employed,Divorced,No,No,Other,No,0
24,40789,55827,727,109,2,3.2,48,0.89,Bachelor's,Full-time,Single,No,No,Home,No,0
43,67957,14045,785,98,2,18.84,36,0.19,PhD,Part-time,Single,Yes,No,Business,No,0
23,139898,50722,661,97,3,5.55,60,0.78,Bachelor's,Self-employed,Divorced,No,No,Education,Yes,0
67,97720,60304,423,27,4,15.78,36,0.21,High School,Full-time,Married,Yes,Yes,Other,No,0
48,65143,77962,714,71,1,8.48,12,0.26,PhD,Full-time,Single,No,No,Business,Yes,0
28,82581,132557,339,7,3,11.76,60,0.88,Bachelor's,Self-employed,Single,Yes,Yes,Home,Yes,1
55,27987,88111,769,9,4,17.36,48,0.64,Master's,Self-employed,Single,Yes,Yes,Education,No,0
58,74884,85031,758,80,4,7.83,48,0.33,Bachelor's,Unemployed,Divorced,No,No,Other,No,0
40,61543,242536,529,59,3,15.49,24,0.87,Bachelor's,Self-employed,Divorced,Yes,Yes,Education,No,1
54,140775,211068,310,0,3,20.1,12,0.52,Master's,Full-time,Divorced,No,Yes,Other,Yes,0
24,15165,55999,625,37,1,14.95,24,0.12,PhD,Unemployed,Divorced,Yes,No,Education,Yes,1
53,27650,236841,765,38,3,10.32,60,0.82,High School,Self-employed,Divorced,Yes,Yes,Business,Yes,0
34,148024,59647,485,23,1,3.83,36,0.71,Bachelor's,Self-employed,Married,No,No,Education,Yes,1
66,141797,10021,402,31,3,19.41,60,0.54,Bachelor's,Unemployed,Divorced,No,No,Business,Yes,0
52,37708,236871,666,119,4,16.86,36,0.81,Bachelor's,Part-time,Single,Yes,Yes,Auto,Yes,0
54,30267,26566,510,7,2,22.27,36,0.41,Bachelor's,Full-time,Divorced,No,Yes,Home,No,1
35,81291,74599,786,45,3,15.03,60,0.1,Bachelor's,Full-time,Divorced,Yes,No,Home,Yes,1
28,139812,149119,687,98,1,23.75,12,0.51,Bachelor's,Part-time,Single,Yes,Yes,Business,Yes,1
20,105899,181971,310,92,3,2.71,12,0.83,Master's,Unemployed,Single,No,Yes,Education,Yes,0
21,73270,203195,713,47,2,6.64,60,0.55,PhD,Self-employed,Divorced,No,No,Auto,No,1
22,67180,68701,682,42,3,5.38,60,0.24,Bachelor's,Full-time,Married,Yes,No,Business,Yes,0
23,26540,204032,808,93,1,15.24,60,0.18,PhD,Unemployed,Married,No,Yes,Home,Yes,0
66,77214,107348,337,72,1,20.78,60,0.69,High School,Self-employed,Married,Yes,Yes,Home,No,1
61,117781,204657,671,0,4,4.31,24,0.22,Bachelor's,Part-time,Single,No,No,Other,No,0
60,49866,236829,756,80,3,10.2,36,0.5,Master's,Part-time,Single,No,No,Auto,Yes,1
26,69723,99100,699,52,1,13.11,48,0.88,PhD,Unemployed,Single,Yes,Yes,Business,No,0
66,121232,184878,610,49,4,16.37,48,0.88,Bachelor's,Self-employed,Single,Yes,No,Home,Yes,1
65,54821,236058,511,55,4,20.66,60,0.67,Bachelor's,Full-time,Married,No,Yes,Home,No,0
29,22760,87790,747,25,1,7.82,48,0.41,Bachelor's,Full-time,Single,No,No,Home,Yes,1
23,70505,196611,587,105,1,10.63,36,0.13,High School,Part-time,Divorced,Yes,No,Other,Yes,0
20,132619,174366,315,71,3,12.76,36,0.55,Master's,Unemployed,Married,No,Yes,Home,Yes,1
38,81199,16902,684,17,1,5.71,48,0.3,Master's,Self-employed,Divorced,Yes,No,Education,Yes,1
55,37856,20759,671,66,3,2.61,24,0.68,High School,Full-time,Married,Yes,No,Business,Yes,0
66,149660,217491,529,66,2,6.93,24,0.53,Bachelor's,Full-time,Single,No,Yes,Auto,No,0
49,147768,155451,509,20,3,22.03,24,0.66,PhD,Full-time,Married,No,No,Education,Yes,0
18,133999,84405,430,6,2,4.32,48,0.78,Bachelor's,Unemployed,Divorced,Yes,No,Home,Yes,0
55,114845,116302,558,16,4,21.93,60,0.39,High School,Part-time,Single,No,Yes,Business,Yes,0
36,36762,12020,610,36,1,17.06,12,0.13,PhD,Self-employed,Married,No,No,Other,No,0
49,60663,111232,672,42,1,3.89,48,0.45,PhD,Self-employed,Divorced,No,No,Home,No,0
32,66305,87162,720,29,3,4.51,24,0.4,Master's,Self-employed,Single,Yes,No,Other,No,0
46,149700,53035,620,3,4,13.53,48,0.28,Bachelor's,Self-employed,Single,No,No,Business,No,0
61,119502,74012,423,78,3,4.4,36,0.22,Bachelor's,Full-time,Divorced,Yes,Yes,Auto,No,0
26,49395,51635,550,70,4,19.06,36,0.72,High School,Self-employed,Single,Yes,Yes,Business,No,0
21,106882,23995,617,90,1,20.65,12,0.7,Master's,Full-time,Married,Yes,Yes,Home,No,1
20,56098,62099,721,116,3,21.76,60,0.79,High School,Self-employed,Single,No,Yes,Business,Yes,1
22,78874,123670,305,73,1,4.14,12,0.63,Master's,Full-time,Divorced,Yes,Yes,Education,Yes,0
65,21466,109841,761,59,1,21.95,36,0.83,Master's,Full-time,Divorced,Yes,No,Home,Yes,0
39,15888,178705,503,97,4,22.98,24,0.67,PhD,Part-time,Single,Yes,Yes,Education,No,0
37,120906,65236,747,78,4,5.08,36,0.63,High School,Self-employed,Single,No,No,Business,Yes,0
41,99348,29462,552,3,3,16.31,12,0.89,PhD,Unemployed,Single,Yes,No,Auto,Yes,0
67,37953,68260,598,14,4,18.02,48,0.75,Master's,Part-time,Divorced,No,Yes,Education,No,0
20,122035,172044,305,53,2,18.76,48,0.17,Master's,Self-employed,Divorced,No,Yes,Education,Yes,0
28,66478,9218,515,45,3,16.45,48,0.5,PhD,Full-time,Married,Yes,Yes,Home,No,0
64,144197,20304,314,15,3,20.64,12,0.33,High School,Full-time,Divorced,Yes,No,Other,No,0
19,115528,147597,400,11,1,20.33,60,0.37,Master's,Part-time,Divorced,No,No,Education,No,1
30,56005,209223,458,18,4,11.9,60,0.18,Master's,Part-time,Divorced,No,No,Education,Yes,0
37,39204,190632,556,119,1,23.84,12,0.71,Bachelor's,Full-time,Married,Yes,No,Business,No,1
56,132573,67087,588,111,3,9.78,12,0.32,Bachelor's,Unemployed,Divorced,No,Yes,Other,No,0
34,139035,176574,599,23,2,23.52,12,0.25,Master's,Full-time,Single,Yes,No,Business,No,0
35,126030,149819,725,19,4,24.57,24,0.64,High School,Unemployed,Divorced,Yes,Yes,Auto,No,1
21,85482,19965,536,42,3,9.39,60,0.14,PhD,Full-time,Divorced,No,No,Auto,No,0
30,111928,14283,828,5,1,19.35,48,0.29,Bachelor's,Part-time,Married,No,Yes,Business,No,1
65,26092,225585,602,8,1,11.05,12,0.45,Master's,Part-time,Divorced,Yes,No,Home,Yes,0
67,72178,170708,356,11,4,11.16,24,0.81,High School,Unemployed,Single,No,Yes,Other,No,0
68,117641,171878,406,91,1,19.33,48,0.39,High School,Self-employed,Divorced,No,No,Auto,Yes,0
30,20527,207676,369,8,4,3.65,36,0.69,Bachelor's,Part-time,Divorced,No,No,Education,Yes,1
27,110854,144295,329,7,1,9.27,24,0.85,Master's,Part-time,Married,No,Yes,Home,No,1
63,17453,18275,528,108,3,2.29,12,0.72,PhD,Unemployed,Single,Yes,No,Education,No,0
66,49411,159105,371,86,4,13.35,60,0.12,Bachelor's,Self-employed,Married,No,No,Business,Yes,0
59,127849,65566,663,34,4,15.22,60,0.33,PhD,Full-time,Single,Yes,No,Business,Yes,0
23,55764,248390,777,114,3,16.99,48,0.57,PhD,Part-time,Married,Yes,No,Education,No,1
