Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
24.2,96836.59143419228,209592.3488936462,791.5795802868855,85.67785935794885,2.0,19.185234124030742,60.0,0.58,PhD,Part-time,Single,Yes,No,Auto,No,1
20.0,78419.05959177577,207412.72971805482,574.0671479117748,50.60159590248987,1.0,23.44499213959905,23.999999991618097,0.8199999999068678,PhD,Unemployed,Single,No,No,Auto,Yes,1
19.0,57847.11948345069,166286.84903405767,617.5224393798323,15.515870475796023,3.0,23.81162522916953,47.99999999720603,0.1299999998952262,PhD,Part-time,Single,Yes,No,Home,No,1
45.0,21990.998896927806,182584.65915679574,638.9339833343248,16.628499412822656,1.0,21.11468066398163,12.0,0.8300000000582076,Master's,Unemployed,Divorced,Yes,No,Education,No,1
67.4,59393.29388872913,230509.29620323455,531.6267791894793,77.52094906161561,1.0,22.73527849821963,47.99999999720603,0.10999999996507541,High School,Full-time,Single,Yes,No,Home,Yes,0
21.0,47210.37980253631,230992.03362533636,487.1884961836479,27.129347034527303,1.0,3.967566757129404,60.0,0.34000000009313225,Master's,Full-time,Single,Yes,No,Auto,No,1
51.4,19798.64513879191,243846.1968798484,778.5834905648566,78.25482853647667,1.0,20.581383407581924,47.99999999720603,0.5299999999883585,PhD,Self-employed,Single,Yes,No,Auto,Yes,0
49.6,43117.375843899645,232782.44729428145,425.6849141846609,108.6661701639337,4.0,3.8358668728628817,60.0,0.8299999998719432,Bachelor's,Unemployed,Single,No,No,Business,No,1
55.199999999999996,31203.576308783744,215319.8303271271,542.5331076985535,109.19023303179775,2.0,17.03474516566255,47.99999999720603,0.39000000010477376,High School,Part-time,Divorced,Yes,No,Auto,No,0
56.0,58445.21416364895,214011.61037330786,605.4869629159773,65.59970920081244,2.0,14.89102930556774,23.999999991618097,0.38000000032596293,High School,Part-time,Single,Yes,No,Auto,No,0
48.0,94990.50025840581,239748.6372304402,748.6354866157369,71.15137779320389,2.0,2.5264055852467204,60.0,0.59000000015134,High School,Self-employed,Single,Yes,Yes,Other,Yes,0
21.2,26187.575707290685,200607.34974647113,677.667221332357,14.711458595868073,4.0,16.90227419253026,12.0,0.3299999999417923,Bachelor's,Part-time,Single,Yes,No,Other,No,1
20.0,44129.119313308765,196645.23079565848,651.9159940071208,44.11279924705457,1.0,6.440071469892299,60.0,0.7199999998835848,Master's,Part-time,Divorced,No,No,Auto,No,1
22.8,113802.18033886891,24445.948171561104,761.9598142413795,50.46678014995223,2.0,19.001407917307553,12.0,0.25999999944120644,High School,Part-time,Divorced,Yes,Yes,Auto,No,0
45.8,21892.764463871896,165801.19750682294,587.5973016146099,78.93070184391242,3.0,9.224000858530403,60.0,0.7200000002561138,Master's,Unemployed,Divorced,Yes,No,Other,No,0
56.0,18008.430025597205,229970.70006139827,677.973043631756,58.92789300296639,1.0,2.444278759752465,12.0,0.6899999992433005,Bachelor's,Part-time,Divorced,Yes,Yes,Education,No,0
