Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,income
30.200000000000003,123456.80534593639,239877.67287492697,409.06656352129454,87.01695214515016,2.0,23.643195936114807,60.0,0.27999999974388634,Bachelor's,Unemployed,Married,Yes,No,Business,No,1
63.6,63013.64378144514,162062.9793472828,463.28043247672736,75.9415753246149,4.0,7.292550495991612,12.0,0.7100000001047738,High School,Full-time,Single,Yes,Yes,Auto,Yes,0
43.0,52836.67558135084,73419.04470110756,516.1918822615854,83.39401377746695,4.0,17.350767881903046,60.0,0.36000000002328314,Bachelor's,Part-time,Single,No,No,Auto,Yes,1
40.2,56512.4771996875,7447.818425718653,614.431871155843,10.992339816873972,4.0,22.465785594611845,47.99999999720603,0.36999999998835853,Master's,Part-time,Married,Yes,No,Auto,No,1
26.6,22554.391938820572,215567.0655754225,434.79748727865456,23.381288786740345,2.0,19.103066141037985,47.99999999720603,0.7199999996973202,Bachelor's,Part-time,Single,Yes,No,Home,No,1
36.0,61966.109564169106,223814.52943208034,774.6102346977243,16.41971128397149,2.0,17.353449012712446,47.99999999720603,0.10999999977881089,High School,Unemployed,Single,Yes,No,Home,No,0
27.19998779315501,17661.49572564743,166399.07943907173,587.4969409661128,34.18762988252277,1.0,13.762431762638137,60.0,0.7099999999185093,Bachelor's,Part-time,Married,Yes,No,Education,No,1
69.0,79096.48699599865,107555.44336832954,504.6045600193563,118.94188729974951,2.0,4.326547747586515,60.0,0.6700000000582077,High School,Full-time,Single,No,No,Auto,Yes,0
35.8,147027.01609030692,88736.53751493817,844.5148257919388,114.56897543663368,4.0,24.94937484230133,12.0,0.46999999963911254,High School,Part-time,Married,Yes,No,Home,No,0
20.0,84011.70777111681,92357.31736309764,649.1651701496833,4.905436762120909,4.0,18.998913566281303,60.0,0.7699999997089617,Bachelor's,Part-time,Divorced,No,No,Other,Yes,1
45.0,52425.89385569791,127055.1289297955,425.60625690492014,109.16118029741598,4.0,19.77365508643763,47.99999999720603,0.6599999995343386,High School,Self-employed,Single,Yes,No,Business,Yes,0
20.0,22962.66956411015,239003.98886332382,636.3827049206902,15.373805697861547,4.0,14.032196614055941,60.0,0.3299999999417923,High School,Unemployed,Divorced,Yes,Yes,Business,No,1
52.400000000000006,18365.380946978083,119013.80992194959,490.8137678920324,76.86280098763825,2.0,19.869827501114884,60.0,0.4499999998952262,High School,Self-employed,Married,Yes,Yes,Home,No,0
59.8,54205.280944025675,121314.31655183302,630.4129389169191,86.1031457106823,3.0,20.580807769997236,47.99999999720603,0.2699999995925464,PhD,Self-employed,Single,Yes,No,Home,No,0
55.199999999999996,47215.109385801275,92647.52947389323,624.0796999340132,118.06298545190668,1.0,14.094288136287195,12.0,0.8800000000698492,Bachelor's,Part-time,Married,Yes,Yes,Education,No,0
60.6,56628.577026859755,23553.323218038615,306.31656472252604,117.94563961423599,3.0,17.247190077581255,35.999999994412065,0.2699999999650754,High School,Self-employed,Married,No,Yes,Auto,Yes,0
41.4,18361.263121679254,216043.63372277553,640.6719637593887,17.33644713562365,2.0,14.885154933115738,60.0,0.7399999994412065,Bachelor's,Part-time,Divorced,Yes,No,Home,No,1
18.8,49488.26830436715,173897.15401823103,606.0819811884039,20.488009365389125,4.0,19.781730301122117,12.0,0.8199999999068678,PhD,Self-employed,Divorced,Yes,Yes,Other,Yes,1
61.0,102916.57445649887,111395.26994153748,523.7811222713863,116.36448560151376,2.0,6.794922482819511,60.0,0.16999999994179232,Bachelor's,Full-time,Married,Yes,No,Home,No,0
22.0,18896.451063643315,124186.91710292989,614.136548321726,27.525176437693922,3.0,15.466241922622139,60.0,0.4900000001280569,Bachelor's,Part-time,Married,Yes,Yes,Business,No,1
44.0,22024.054127897616,229074.3232844943,357.5936505365171,25.823584004497057,3.0,21.216220816168054,60.0,0.4400000001164154,High School,Full-time,Divorced,Yes,Yes,Business,No,1
67.0,69441.48372157419,41090.50634885451,759.5973829120858,51.981154012722236,4.0,19.33047156546276,60.0,0.15999999997671693,Bachelor's,Unemployed,Married,Yes,Yes,Home,Yes,0
21.2,58799.89277830485,227519.20954610204,704.3416620125859,49.40224134931393,4.0,17.71066999419841,12.0,0.8300000000582076,High School,Part-time,Single,Yes,No,Home,No,1
28.4,56235.24236060056,212207.1616157161,639.5858236033437,23.357910442249363,4.0,19.0218689750605,60.0,0.8900000000349246,Bachelor's,Part-time,Married,Yes,No,Auto,No,1
37.0,55395.27579541883,222142.10787654435,423.997581600211,116.88459054634082,4.0,23.83000819991343,60.0,0.2499999998486601,PhD,Full-time,Married,No,No,Business,No,1
51.0,17699.691929594774,229017.03004070022,630.9270820349751,90.07600099245924,1.0,8.19420575277745,60.0,0.2499999998486601,Master's,Full-time,Single,Yes,No,Other,No,0
52.0,85233.13259542806,96352.61652689255,577.3747564701771,117.13336170514425,2.0,14.003517390369327,60.0,0.15999999997671693,Bachelor's,Part-time,Single,Yes,Yes,Home,No,0
52.0,47269.88037473612,75913.53494961595,779.9726263198472,108.65893535214917,1.0,8.910146878568955,47.99999999720603,0.6199999998603016,Bachelor's,Part-time,Single,Yes,Yes,Home,No,0
66.0,21908.852343947125,92644.83540668264,671.2424676346691,101.544618233001,3.0,2.5768809080256334,12.0,0.4900000001280569,PhD,Part-time,Married,Yes,No,Home,No,0
31.0,121677.64791432084,239025.84545029927,768.5258290794505,50.26071546558773,2.0,14.87975002057379,35.999999994412065,0.47000000001164155,PhD,Part-time,Married,Yes,Yes,Auto,No,0
29.6,56977.17655795072,42873.79040128407,762.0100949713983,22.940887296325734,2.0,15.738852706132189,60.0,0.2699999999650754,Bachelor's,Part-time,Divorced,Yes,Yes,Auto,No,1
51.6,142804.0051575764,24928.316240219476,624.8613117532482,107.87454696089834,2.0,6.084932777344932,12.0,0.7800000000465661,Bachelor's,Part-time,Single,Yes,Yes,Auto,No,0
53.4,54388.044697014855,52468.62670338448,625.1374901277334,117.94405076511764,1.0,11.577926787475107,47.99999999720603,0.2899999998952262,PhD,Self-employed,Married,Yes,No,Auto,Yes,0
68.0,49410.40424570171,41895.439403265584,635.4484401562829,53.147859704482336,1.0,24.08674236998352,60.0,0.4999999999068677,High School,Part-time,Single,Yes,No,Home,No,0
22.0,131633.15875648783,78470.1172990422,645.4814254696205,11.486122620172361,4.0,16.89674224789644,12.0,0.4799999997904524,High School,Part-time,Married,Yes,Yes,Auto,No,1
20.0,21899.423722891235,237687.2093886992,434.79885959736976,17.363024401795823,4.0,14.122001312282404,60.0,0.42000000000000004,High School,Full-time,Single,Yes,No,Auto,No,1
19.0,34544.62237792756,231379.85166113355,422.74084008874854,68.10833067496036,4.0,15.33371780712477,12.0,0.8299999998719432,Bachelor's,Unemployed,Divorced,Yes,Yes,Auto,No,1
25.6,21932.272897612835,92170.08636496264,642.0131835287933,88.71589159237125,3.0,14.745294013099116,12.0,0.6899999999883585,High School,Self-employed,Divorced,Yes,Yes,Auto,No,1
19.0,52154.48396308895,240923.56621852226,632.1303064399702,104.79858851428111,4.0,22.740420337854985,60.0,0.4599999998603016,High School,Part-time,Married,Yes,Yes,Auto,No,1
59.6,120051.107424089,86299.72224008752,575.1999414077029,72.1505195696723,3.0,14.022348201159005,60.0,0.370000000174623,Bachelor's,Part-time,Married,Yes,Yes,Home,No,0
20.0,15214.343439037992,173854.12519757965,365.166975816285,10.707883791231524,2.0,19.94818045859416,23.999999991618097,0.7000000001396984,Bachelor's,Self-employed,Single,Yes,Yes,Home,No,1
69.0,76199.09464205874,197022.4691024475,568.3194321771896,55.0099514166382,2.0,17.392930551537532,12.0,0.72999999984866,Bachelor's,Part-time,Married,Yes,No,Business,Yes,0
65.4,49995.069161999054,185668.01480174717,592.0755169550133,97.24669999285757,4.0,5.227144107419798,35.999999994412065,0.7499999999650754,PhD,Self-employed,Married,Yes,Yes,Other,Yes,0
60.0,140855.43438777595,111906.76024024066,727.3802520126059,81.72278610866582,2.0,14.745290239391686,60.0,0.27999999974388634,Bachelor's,Unemployed,Married,Yes,No,Auto,No,0
45.4,51275.76948990411,239093.29106588225,426.1563225360951,67.46456713682613,3.0,23.75195392736279,60.0,0.22999999973224478,High School,Full-time,Divorced,No,No,Business,No,1
27.8,15826.504749985763,230001.0876520819,532.9759462897143,25.244196216166998,2.0,17.353925425879176,12.0,0.5300000003608875,High School,Full-time,Married,No,No,Other,Yes,1
62.8,62636.71395169238,239100.70995983217,567.7482129483828,105.27029827033876,4.0,22.699552354977833,47.99999999720603,0.34000000009313225,PhD,Unemployed,Single,Yes,No,Business,No,0
27.4,123475.13171902255,240573.1613025193,563.5074405738868,12.73631236556366,4.0,21.61912156796761,60.0,0.16999999994179232,Bachelor's,Unemployed,Married,No,No,Auto,No,1
37.0,52034.70460045983,47265.86596180355,596.578554698168,109.62317268052678,2.0,23.639786388773885,60.0,0.27000000015133996,High School,Full-time,Divorced,Yes,No,Home,No,0
56.6,135851.95884478046,50205.92005623642,614.1399910061481,86.20849733757984,1.0,9.667610155406319,60.0,0.19999999983701855,Bachelor's,Part-time,Single,Yes,Yes,Other,No,0
64.2,49290.85642530789,40037.545613049886,778.6322774155141,79.6389190157966,2.0,2.8065395890703746,35.999999994412065,0.539999999953434,PhD,Self-employed,Single,Yes,No,Auto,Yes,0
34.0,57056.59422479048,230040.11164566505,626.769961791758,52.84325282178895,4.0,19.507804452834606,47.99999999720603,0.20999999980209397,High School,Part-time,Married,Yes,Yes,Home,No,1
19.0,50887.04464476836,162542.73610534676,396.0944590824876,30.80048944144521,4.0,16.63513723855958,60.0,0.34000000009313225,High School,Unemployed,Divorced,No,No,Business,No,1
57.8,75295.07968583799,158637.3507788119,639.7436784749721,47.602815929940625,4.0,8.36048589536233,23.999999991618097,0.4699999998253771,Master's,Part-time,Single,Yes,No,Other,No,0
68.19999999999999,16747.119191546488,41387.09550996942,752.3083185754504,46.147781682002304,1.0,9.763285671841187,60.0,0.4599999998603016,Bachelor's,Part-time,Single,Yes,Yes,Auto,No,0
22.0,52299.9517237041,139429.609456628,750.6187403785575,8.93037567891422,2.0,3.560984799228838,60.0,0.18000000009313227,Bachelor's,Unemployed,Married,Yes,No,Auto,No,1
52.6,50913.30391629489,162158.44443676024,574.0420533716776,38.27274532715621,4.0,23.68385644002209,60.0,0.3499999998719432,High School,Full-time,Divorced,Yes,No,Auto,No,1
34.6,57048.22709038277,42402.83881030112,580.6639462259282,108.6912011941176,2.0,6.395986773447596,60.0,0.2699999999650754,Bachelor's,Unemployed,Married,Yes,Yes,Auto,No,0
56.6,50762.76422427263,185036.38653510166,563.128270932503,56.46124053012143,3.0,10.121457996941512,23.999999991618097,0.5200000000232831,PhD,Self-employed,Married,No,Yes,Other,Yes,0
26.8,73180.4379503558,56262.944666199146,382.00208317255647,3.8095685555156247,3.0,8.298743459803227,23.999999991618097,0.4599999998603016,Master's,Part-time,Married,Yes,Yes,Auto,No,1
64.8,64750.78311666329,241036.53048251674,569.9121777964551,48.493939073871346,2.0,17.347962031401224,60.0,0.46999999963911254,PhD,Unemployed,Single,Yes,No,Auto,No,0
56.6,18014.988597683605,229134.7991504089,489.46456666278294,78.21090900087984,4.0,2.529211130640286,60.0,0.17000000012805686,High School,Self-employed,Divorced,Yes,Yes,Home,No,0
20.6,52039.11999272744,110295.43918911727,665.5883877267103,42.107706431790184,4.0,18.297819249317477,60.0,0.4999999999068677,High School,Part-time,Divorced,Yes,No,Auto,No,1
18.4,97854.126256343,206155.07086281548,385.37833719406706,87.99159472435517,1.0,17.696392924195713,60.0,0.33999999934807423,Bachelor's,Unemployed,Single,No,No,Education,No,1
31.4,56504.71481538511,178925.87012447554,344.65020807847617,1.0215271075771952,4.0,16.517265085472552,60.0,0.16999999975552782,High School,Self-employed,Married,Yes,No,Auto,Yes,1
26.4,85463.49788721034,222392.2260322683,409.06871505525635,2.3279001315422123,3.0,19.301650343321185,60.0,0.2899999998952262,Bachelor's,Full-time,Divorced,Yes,Yes,Other,No,1
